side,symbol,direction,ts,event_type,policy_id
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,market_pulse_flip
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-13T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-13T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2024-08-21T13:45:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-05-19T13:43:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-03T13:56:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T14:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-08T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-08T13:51:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-08T13:54:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-05-17T14:05:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-05-17T14:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-05-27T13:48:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-09T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-16T14:05:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-24T13:42:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-14T14:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-11-19T15:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-12-13T14:56:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2024-02-13T14:35:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2025-08-01T14:09:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2025-08-01T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2025-08-01T14:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-14T14:07:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-11-19T15:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-01-10T15:07:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-01-12T15:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-02-14T15:08:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:01:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-08T14:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,time_stop
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1_5r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-24T13:52:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-11-19T15:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-11-19T15:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-01-10T15:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-01-10T15:07:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-05-05T14:14:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-05-09T14:13:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:24:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-09T14:53:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-10T14:26:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-10T14:51:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-14T14:40:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-15T14:17:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,vwap_return
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-12-13T14:56:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-08T14:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-13T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-14T14:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-24T13:52:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-12-13T14:56:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-13T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-04T14:00:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-06-29T13:47:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-07-14T13:55:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:57:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,partial_retrace_50
missing_in_runtime,IWM,long,2021-07-01T14:07:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-11-09T15:12:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-10-11T14:14:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-12-07T15:05:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-12-07T15:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-12-07T15:07:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2023-05-17T14:06:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:58:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-12T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-08-24T14:10:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:01:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-01T14:02:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-09-13T13:50:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2022-04-08T14:03:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-06-18T13:59:00+00:00,entry,fixed_1r
missing_in_runtime,IWM,long,2021-07-13T14:11:00+00:00,entry,fixed_1r
