analysis_period,variant_id,slice_dimension,slice_value,signal_count,mean_net_r_per_signal,profit_factor
optimization,range_expansion_lfd_buffer_0p00atr,direction,long,32,-0.05761844398485909,0.8770914082653378
optimization,range_expansion_lfd_buffer_0p00atr,direction,short,31,-0.05760283739333045,0.886519819682293
optimization,range_expansion_lfd_buffer_0p00atr,population,80_only,9,0.21808665416058237,1.4791093238368918
optimization,range_expansion_lfd_buffer_0p00atr,population,baseline_20_40_60,54,-0.10356033433618475,0.7900825106836245
optimization,range_expansion_lfd_buffer_0p10atr,direction,long,32,-0.10321639244533803,0.7925835939627243
optimization,range_expansion_lfd_buffer_0p10atr,direction,short,31,-0.11979966080209023,0.7636372876155579
optimization,range_expansion_lfd_buffer_0p10atr,population,80_only,9,0.18895592364842162,1.4233582604063741
optimization,range_expansion_lfd_buffer_0p10atr,population,baseline_20_40_60,54,-0.16143180288798897,0.6843774191481281
optimization,rectangle_height_lfd_buffer_0p00atr,direction,long,32,-0.0812065933103211,0.8339508979311058
optimization,rectangle_height_lfd_buffer_0p00atr,direction,short,31,0.05822663831125573,1.1382348794539858
optimization,rectangle_height_lfd_buffer_0p00atr,population,80_only,9,0.45754298306935826,2.0051651720203973
optimization,rectangle_height_lfd_buffer_0p00atr,population,baseline_20_40_60,54,-0.0909531860352884,0.8004326566269131
optimization,rectangle_height_lfd_buffer_0p10atr,direction,long,32,-0.10203174022443387,0.7903276859485272
optimization,rectangle_height_lfd_buffer_0p10atr,direction,short,31,0.0752470344304519,1.1935441902723383
optimization,rectangle_height_lfd_buffer_0p10atr,population,80_only,9,0.4088877182268593,1.9161183716692698
optimization,rectangle_height_lfd_buffer_0p10atr,population,baseline_20_40_60,54,-0.08541383488665938,0.8046226924850207
out_of_sample,range_expansion_lfd_buffer_0p00atr,direction,long,20,-0.18465393474796007,0.7168227994998114
out_of_sample,range_expansion_lfd_buffer_0p00atr,direction,short,13,-0.3184904206074239,0.49653912121290084
out_of_sample,range_expansion_lfd_buffer_0p00atr,population,80_only,2,-1.1907116546873158,0.13844087074973277
out_of_sample,range_expansion_lfd_buffer_0p00atr,population,baseline_20_40_60,31,-0.17587196301551872,0.705316717676845
out_of_sample,range_expansion_lfd_buffer_0p10atr,direction,long,20,-0.16855769973099594,0.7348156698355943
out_of_sample,range_expansion_lfd_buffer_0p10atr,direction,short,13,-0.30681596509468545,0.505874630649589
out_of_sample,range_expansion_lfd_buffer_0p10atr,population,80_only,2,-1.0759786130451818,0.15130281481148652
out_of_sample,range_expansion_lfd_buffer_0p10atr,population,baseline_20_40_60,31,-0.16799368757291824,0.7146244129115201
out_of_sample,rectangle_height_lfd_buffer_0p00atr,direction,long,20,-0.12541583108193205,0.7701005464154292
out_of_sample,rectangle_height_lfd_buffer_0p00atr,direction,short,13,-0.3264397395366251,0.4839730569456565
out_of_sample,rectangle_height_lfd_buffer_0p00atr,population,80_only,2,-1.1749047171472702,0.1498782420809904
out_of_sample,rectangle_height_lfd_buffer_0p00atr,population,baseline_20_40_60,31,-0.14200721939742666,0.7310836674935748
out_of_sample,rectangle_height_lfd_buffer_0p10atr,direction,long,20,-0.13458830063651278,0.7480812844729651
out_of_sample,rectangle_height_lfd_buffer_0p10atr,direction,short,13,-0.3335570267591266,0.4628083027038242
out_of_sample,rectangle_height_lfd_buffer_0p10atr,population,80_only,2,-1.0722500395060701,0.15424379321853549
out_of_sample,rectangle_height_lfd_buffer_0p10atr,population,baseline_20_40_60,31,-0.15753249295441166,0.6989487132415428
